"type","group","kanji","kana","translation_ru","translation_en","pattern"
"word","Jisho-N4","残る","のこる","","to remain; to be left",""
"word","Jisho-N4","上がる","あがる","","to rise; to go up; to come up",""
"word","Jisho-N4","席","せき","","seat; location (of a gathering, etc.); place",""
"word","Jisho-N4","値段","ねだん","","price; cost",""
"word","Jisho-N4","将来","しょうらい","","future; (future) prospects",""
"word","Jisho-N4","優しい","やさしい","","tender; kind; gentle",""
"word","Jisho-N4","致す","いたす","","to do",""
"word","Jisho-N4","空気","くうき","","air; atmosphere",""
"word","Jisho-N4","逃げる","にげる","","to run away; to flee; to get away (e.g. from danger)",""
"word","Jisho-N4","役に立つ","やくにたつ","","to be helpful; to be useful",""
"word","Jisho-N4","機会","きかい","","chance; opportunity; occasion",""
"word","Jisho-N4","予約","よやく","","reservation; appointment; booking",""
"word","Jisho-N4","原因","げんいん","","cause; origin; source",""
"word","Jisho-N4","火事","かじ","","fire; conflagration",""
"word","Jisho-N4","泥棒","どろぼう","","thief; burglar; robber",""
"word","Jisho-N4","髪","かみ","","hair (on the head)",""
"word","Jisho-N4","行う","おこなう","","to perform; to do; to conduct oneself",""
"word","Jisho-N4","代わり","かわり","","substitute; replacement; substituting",""
"word","Jisho-N4","見つかる","みつかる","","to be found; to be discovered",""
"word","Jisho-N4","打つ","うつ","","to hit; to strike; to knock",""
"word","Jisho-N4","厳しい","きびしい","","severe; strict; rigid",""
"word","Jisho-N4","増える","ふえる","","to increase; to multiply",""
"word","Jisho-N4","迎える","むかえる","","to go out to meet; to receive; to welcome",""
"word","Jisho-N4","怖い","こわい","","scary; frightening; eerie",""
"word","Jisho-N4","社長","しゃちょう","","company president; manager; director",""
"word","Jisho-N4","紹介","しょうかい","","introduction; presentation; referral",""
"word","Jisho-N4","集める","あつめる","","to collect; to assemble; to gather",""
"word","Jisho-N4","事務所","じむしょ","","office",""
"word","Jisho-N4","星","ほし","","star (usu. excluding the Sun); planet (usu. excluding Earth); heavenly body",""
"word","Jisho-N4","特に","とくに","","particularly; especially; in particular",""
"word","Jisho-N4","集まる","あつまる","","to gather; to collect; to assemble",""
"word","Jisho-N4","比べる","くらべる","","to compare; to make a comparison (between)",""
"word","Jisho-N4","無理","むり","","unreasonable; unnatural; unjustifiable",""
"word","Jisho-N4","用意","ようい","","preparation; arrangements; provision",""
"word","Jisho-N4","落とす","おとす","","to drop; to lose; to let fall",""
"word","Jisho-N4","壊れる","こわれる","","to be broken; to break; to fall apart",""
"word","Jisho-N4","具合","ぐあい","","condition; state",""
"word","Jisho-N4","倒れる","たおれる","","to fall (over, down); to collapse; to take a fall",""
"word","Jisho-N4","味","あじ","","flavor; flavour; taste",""
"word","Jisho-N4","安全","あんぜん","","safety; security",""
"word","Jisho-N4","変","へん","","strange; odd; peculiar",""
"word","Jisho-N4","連絡","れんらく","","contacting; (making) contact; getting in touch",""
"word","Jisho-N4","祖母","そぼ","","grandmother",""
"word","Jisho-N4","大事","だいじ","","important; serious; crucial",""
"word","Jisho-N4","下がる","さがる","","to come down; to go down; to fall",""
"word","Jisho-N4","壊す","こわす","","to break; to destroy; to demolish",""
"word","Jisho-N4","決まる","きまる","","to be decided; to be settled; to be fixed",""
"word","Jisho-N4","汽車","きしゃ","","steam locomotive; steam train",""
"word","Jisho-N4","確か","たしか","","sure; certain; positive",""
"word","Jisho-N4","楽しみ","たのしみ","","enjoyment; pleasure; amusement",""
"word","Jisho-N4","可笑しい","おかしい","","funny; amusing; comical",""
"word","Jisho-N4","隅","すみ","","corner; nook; recess",""
"word","Jisho-N4","競争","きょうそう","","competition; contest; rivalry",""
"word","Jisho-N4","入院","にゅういん","","hospitalization; hospitalisation",""
"word","Jisho-N4","形","かたち","","(physical) form; shape; figure",""
"word","Jisho-N4","留守","るす","","absence; being away from home",""
"word","Jisho-N4","景色","けしき","","scenery; scene; landscape",""
"word","Jisho-N4","仕方","しかた","","way; method; means",""
"word","Jisho-N4","首","くび","","neck; head",""
"word","Jisho-N4","君","きみ","","you; buddy; pal",""
"word","Jisho-N4","以内","いない","","within; inside of; less than",""
"word","Jisho-N4","血","ち","","blood; ancestry; lineage",""
"word","Jisho-N4","例えば","たとえば","","for example; for instance; e.g.",""
"word","Jisho-N4","別れる","わかれる","","to part (usu. of people); to part from; to part with",""
"word","Jisho-N4","棚","たな","","shelf; ledge; rack",""
"word","Jisho-N4","申し上げる","もうしあげる","","to say; to tell; to state",""
"word","Jisho-N4","引っ越す","ひっこす","","to move (house); to change residence",""
"word","Jisho-N4","複雑","ふくざつ","","complex; complicated; intricate",""
"word","Jisho-N4","品物","しなもの","","article; item; thing",""
"word","Jisho-N4","技術","ぎじゅつ","","technology; engineering",""
"word","Jisho-N4","ご存知","ごぞんじ","","knowing; being aware (of)",""
"word","Jisho-N4","草","くさ","","grass; weed; herb",""
"word","Jisho-N4","以下","いか","","not exceeding ...; not more than ...; ... and under",""
"word","Jisho-N4","倍","ばい","","double; twice (as much)",""
"word","Jisho-N4","両方","りょうほう","","both; both sides; both parties",""
"word","Jisho-N4","港","みなと","","harbour; harbor; port",""
"word","Jisho-N4","安心","あんしん","","peace of mind; relief; (sense of) security",""
"word","Jisho-N4","大体","だいたい","","generally; on the whole; mostly",""
"word","Jisho-N4","線","せん","","line; stripe; stria",""
"word","Jisho-N4","下げる","さげる","","to hang; to suspend; to wear (e.g. decoration)",""
"word","Jisho-N4","虫","むし","","insect; bug; cricket",""
